"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.6","192.168.1.1","TCP","66","20581  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.002209","192.168.1.1","192.168.1.6","TCP","66","53  >  20581 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32"
"3","0.002328","192.168.1.6","192.168.1.1","TCP","54","20581  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"4","0.002506","192.168.1.6","192.168.1.1","TCP","56","20581  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP PDU reassembled in 5]"
"5","0.002577","192.168.1.6","192.168.1.1","DNS","87","Standard query 0xb7b2 A play.google.com"
"6","0.013197","192.168.1.1","192.168.1.6","TCP","54","53  >  20581 [ACK] Seq=1 Ack=3 Win=29216 Len=0"
"7","0.013197","192.168.1.1","192.168.1.6","TCP","54","53  >  20581 [ACK] Seq=1 Ack=36 Win=29216 Len=0"
"8","1.413107","192.168.1.6","172.64.155.209","TCP","55","19943  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"9","1.420876","172.64.155.209","192.168.1.6","TCP","66","443  >  19943 [ACK] Seq=1 Ack=2 Win=103 Len=0 SLE=1 SRE=2"
"10","1.585023","192.168.1.6","172.64.155.209","TCP","55","19648  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"11","1.592489","172.64.155.209","192.168.1.6","TCP","66","443  >  19648 [ACK] Seq=1 Ack=2 Win=23 Len=0 SLE=1 SRE=2"
"12","3.407460","142.251.42.67","192.168.1.6","TLSv1.2","127","Application Data"
"13","3.407872","192.168.1.6","142.251.42.67","TCP","54","20374  >  443 [FIN, ACK] Seq=1 Ack=74 Win=255 Len=0"
"14","3.528026","142.251.42.67","192.168.1.6","TCP","54","443  >  20374 [FIN, ACK] Seq=74 Ack=2 Win=290 Len=0"
"15","3.528205","192.168.1.6","142.251.42.67","TCP","54","20374  >  443 [ACK] Seq=2 Ack=75 Win=255 Len=0"
"16","4.140309","192.168.1.6","192.168.1.1","TCP","54","20581  >  53 [FIN, ACK] Seq=36 Ack=1 Win=131328 Len=0"
"17","4.140719","192.168.1.6","192.168.1.1","TCP","54","20579  >  53 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
"18","4.150537","192.168.1.6","192.168.1.1","DNS","75","Standard query 0xe628 A play.google.com"
"19","4.186565","192.168.1.6","192.168.1.1","DNS","75","Standard query 0xe628 A play.google.com"
"20","4.187455","192.168.1.1","192.168.1.6","DNS","91","Standard query response 0xe628 A play.google.com A 142.250.193.174"
"21","4.187455","192.168.1.1","192.168.1.6","TCP","54","53  >  20581 [ACK] Seq=1 Ack=37 Win=29216 Len=0"
"22","4.187455","192.168.1.1","192.168.1.6","TCP","54","53  >  20579 [ACK] Seq=1 Ack=2 Win=913 Len=0"
"23","4.190523","192.168.1.6","142.250.193.174","QUIC","1292","Initial, DCID=9033300d7f58ed49, PKN: 1, CRYPTO"
"24","4.190694","192.168.1.6","142.250.193.174","QUIC","1292","Initial, DCID=9033300d7f58ed49, PKN: 2, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING"
"25","4.195573","192.168.1.1","192.168.1.6","DNS","91","Standard query response 0xe628 A play.google.com A 142.250.193.174"
"26","4.200783","142.250.193.174","192.168.1.6","QUIC","1292","Initial, SCID=f033300d7f58ed49, PKN: 1, ACK, PADDING"
"27","4.200783","142.250.193.174","192.168.1.6","QUIC","1292","Initial, SCID=f033300d7f58ed49, PKN: 2, CRYPTO, PADDING"
"28","4.200936","142.250.193.174","192.168.1.6","QUIC","1292","Initial, SCID=f033300d7f58ed49, PKN: 3, CRYPTO, PADDING"
"29","4.202700","192.168.1.6","142.250.193.174","QUIC","1292","Initial, DCID=f033300d7f58ed49, PKN: 3, ACK, PADDING"
